Year,0,0.99,1,1.98,2,10
Access to Local Foods.U,0,0,-10,-10,0,0
Adult Caregiver and Child Diet Quality.U,0,0,-10,-10,0,0
Child Food Preference and Healthy Eating Habits.U,0,0,-10,-10,0,0
Food Storage and Distribution.U,0,0,-10,-10,0,0
Household Resources.U,0,0,-10,-10,0,0
Imported Foods.U,0,0,10,10,0,0
Land Use.U,0,0,-10,-10,0,0
Mental Health.U,0,0,-10,-10,0,0
Nutritional Knowledge and Cultural Norms.U,0,0,-10,-10,0,0
Physical Activity and Exercise.U,0,0,-10,-10,0,0
Policies and Regulations.U,0,0,10,10,0,0
Tourism.U,0,0,-10,-10,0,0